名称	功能说明
LOG_RX	GPIOF_3/ADC3/RFE_CTRL_2/UART1_IN/ArduinoPin_26
LOG_TX	GPIOF_4/UART1_OUT/ArduinoPin_25
IOF5	GPIOF_5/SPI_1_MISO/SPI_3_MISO/ArduinoPin_0
IOF6	GPIOF_6/PWMO/SPI_1_SCL/SPI_3_SC/ArduinoPin_1
IOF7	GPIOF_7/PWM1/SPI_1_MOSI/SPI_3_MOSI//ArduinoPin_2
IOF8	GPIOF_8/PWM2/SPI_1_CSO/SPI_3_CS/ArduinoPin_3
IOF11	GPIOF_11/PWM5/I2SO_MCK/ArduinoPin_4
IOF12	GPIOF_12/PWM6/I2SO_SD_RX/UART1_IN/ArduinoPin_5
IOF13	GPIOF_13/PWM7/I2SO_CLK/UART1_OUT/ArduinoPin_6
IOF14	GPIOF_14/SGPIO_RX/PWM8/I2SO_SD_TXO/ArduinoPin_7
IOF15	GPIOF_15/SGPIO_TX/PWM9/I2S_WS/ArduinoPin_8
3V3	3.3V供电端，此pin针可用于开发板给外设供电
5V	5V供电端，外部可通过此pin针给开发板供电，供电电流建议在1A以上
IOA2	GPIOA_2/ADC6/UART0_OUT/ArduinoPin_21
IOA3	GPIOA_3/ADC7/UART0_IN/ArduinoPin_22
AOUT	AOUT_LP,扬声器输出正信号
GND	接地
EN	CHIP_EN,芯片使能管脚，拉高Enable;拉低shutdown。模组内部默认上拉10K电阻
IOF2	GPIOF_2/ADC2/I2C1_SDA/RFE_CTRL_1/UART1_RTS/ArduinoPin_9
IOF1	GPIOF_1/ADC1/I2C1_SCL/RFE_CTRL_0/UART1_CTS/ArduinoPin_10
IOFO	GPIOF_0/ADCO/ArduinoPin_11
IOE4	GPIOE_4/I2C_SDA/RFE_CTRL5/SPI_0_CSO/SPI_2_CS/UART3CTS/ArduinoPin_1
IOE3	GPIOE_3/I2C_SCL/RFE_CTRL4/SPI_0_MOSI/SPI_2_MOSI/UART3_RTS/ArduinoPin_13
IOE2	GPIOE_2/SPI_0_MISO/SPI_2_MSIO/UART3_IN/ArduinoPin_14
IOE1	GPIOE_1/SPI_0_SCL/SPI_2_SCL/UART3_OUT/ArduinoPin_15
IOD18	GPIOD_18/DMIC_DATA/RFE_CTRL_5/I2S1_SD_RX/UART2_RTS/BTCMD_IRQ/ArduinoPin_16
IOD17	GPIOD_17/RFE_CTRL_4/I2S1_WS/UART2_CTS/WL_ACT/ArduinoPin_17
IOD16	GPIOD_16/DMIC_CLK/I2S1_MCK/UART2_IN/BT_CK/ArduinoPin_18
IOD15	GPIOD_15/I2S1_SD_TXO/UART2_OUT/BT_STA/ArduinoPin_19
IOD14	GPIOD_14/DMIC_CLK/WIFI_LED/I2S1_CLK/BT_PRI/ArduinoPin_20
IOA0	GPIOA_0/ADC4/XTALXO_32/I2C2_SCL/ArduinoPin_28,32K晶振输出脚
IOA1	GPIOA_1/ADC5/XTAL_XI_32/I2C2_SDA/ArduinoPin_27,32K晶振输入脚
DM	GPIOB_1/I2C0_SDA/HSDM,高速USB D-信号
DP	GPIOB_0/I2C0_SCL/HSDP,高速USB D+信号
